date,press,region,title,sub_title,description,content,article_url,image_url
2026-02-23,강원일보,gangwon,[포토뉴스]강원지방중소벤처기업청 3·1절달리기 참가 다짐,,강원지방중소벤처기업청 서종필 청장과 직원들이 20일 현관 앞에서 3·1절 기념 시민건강달리기대회 참가 및 완주를 다짐하고 있다.,강원지방중소벤처기업청 서종필 청장과 직원들이 20일 현관 앞에서 3·1절 기념 시민건강달리기대회 참가 및 완주를 다짐하고 있다.,https://www.kwnews.co.kr/page/view/2026022015080435793?page=1,https://www.kwnews.co.kr/2026/02/20/2026022015073512830_l.jpg
2026-02-23,강원일보,gangwon,"강원자치도, 두바이 2,167만 달러 수출 계약…역대 최대 성과",수출상담 52%↑·수출계약 23%↑,"강원특별자치도 내 의료기기 기업들이 중동 최대 의료기기 전시회에 참가해 2,167만 달러(약 325억 원) 규모의 역대 최대 수출계약 성과를 거뒀다.
강원자치도는 김광래 경제부지사를 단장으로 춘천시·원주시·...","강원특별자치도 내 의료기기 기업들이 중동 최대 의료기기 전시회에 참가해 2,167만 달러(약 325억 원) 규모의 역대 최대 수출계약 성과를 거뒀다. 강원자치도는 김광래 경제부지사를 단장으로 춘천시·원주시·원주의료기기산업진흥원과 수출대표단을 구성해 지난 8일부터 13일까지 ‘2026 두바이 월드헬스 엑스포(WHX Dubai 2026)’에서 강원공동관을 운영했다. 이번 전시회에서는 도내 의료기기 기업 23곳이 1,154건, 5,084만 달러 규모의 수출 상담을 진행했다. 그 결과 227건, 1,572만 달러의 계약 추진과 595만 달러의 현장 계약을 포함해 총 2,167만 달러의 수출 계약을 체결했다. 지난해와 1,755만 달러 대비 23% 증가한 수치로, 상담액 역시 3,354만 달러에서 5,084만 달러로 52% 증가했다. 주요 대상국은 중동을 비롯해 유럽(이탈리아, 스페인 등), 아프리카(에티오피아, 남아공 등) 등으로, 심스테크는 1,800만 달러, ㈜오톰은 600만 달러, ㈜뉴로이어즈는 503만 달러 규모의 상담을 진행하며 글로벌 바이어들의 관심을 받았다. 지난해 강원자치도의 아랍에미레이트 수출액은 1억 1,140만 달러로 전년(3,594만 달러) 대비 210% 늘었다. 특히 의료용 전자기기수출은 801% 늘어난 6,148만 달러로 인도와 미국을 제치고 1위를 차지했다. 김진태 지사는 “강원의료기기는 지난해 강원도 수출 품목 가운데 1위를 차지했는데, 앞으로도 강원 의료기기에 대한 많은 관심과 지원을 부탁드린다”고 말했다.",https://www.kwnews.co.kr/page/view/2026022316323465310?page=1,https://www.kwnews.co.kr/2026/02/23/2026022316314128038_l.jpg
2026-02-23,강원일보,gangwon,"파마리서치-코넥스트, 셀룰라이트 등 치료 신약후보물질 도입",,"재생의학 전문기업 파마리서치(대표:손지훈)는 임상단계 바이오벤처 코넥스트와 신약 후보물질 ‘CNT201’에 대한 라이선스인 및 공급 계약을 체결했다.
이번 계약 대상인 ‘CNT201’은 셀룰라이트 치료를 포함한 에...","재생의학 전문기업 파마리서치(대표:손지훈)는 임상단계 바이오벤처 코넥스트와 신약 후보물질 ‘CNT201’에 대한 라이선스인 및 공급 계약을 체결했다. 이번 계약 대상인 ‘CNT201’은 셀룰라이트 치료를 포함한 에스테틱 영역은 물론, 비수술적 치료 옵션이 제한적인 콜라겐 섬유조직 관련 질환(듀피트렌 구축, 페이로니병) 등 치료 영역에서도 다양한 적응증으로의 확장이 기대되는 바이오 의약품이다. 지난해 미국 식품의약국(FDA) 임상 1상을 완료했으며, 현재 임상 2상을 진행 중이다. 기존 치료 대비 안전성과 효능 측면에서 차별화 가능성이 제시되며, Best-in-Class(계열 내 최고) 신약 후보물질로 평가받고 있다. 파마리서치는 이번 라이선스인 계약을 통해 에스테틱 분야의 적응증 개발과 글로벌 상용화를 주도한다. 특히 ‘CNT201’의 상업화, 유통·판매 및 브랜딩을 담당하며, 에스테틱과 치료 분야를 아우르는 사업 포트폴리오 확장에 나설 계획이다. 코넥스트는 CNT201의 치료제 적응증에 대한 임상개발 및 제조를 담당한다.",https://www.kwnews.co.kr/page/view/2026022316431348110?page=1,https://www.kwnews.co.kr/2026/02/23/2026022316431047386_l.jpg
2026-02-23,강원일보,gangwon,"강원중기청, 25일 온라인 퍼포먼스 광고 전략 및  B2B 플랫폼 활용교육",,"강원지방중소벤처기업청(청장:서종필, 이하 강원중기청)은 오는 3월25일 ‘글로벌 플랫폼을 활용한 국내외 시장진출 및 온라인 퍼포먼스 광고 전략’ 온라인 교육을 진행한다.
이번 교육은 중소기업이 독자적으로 ...","강원지방중소벤처기업청(청장:서종필, 이하 강원중기청)은 오는 3월25일 ‘글로벌 플랫폼을 활용한 국내외 시장진출 및 온라인 퍼포먼스 광고 전략’ 온라인 교육을 진행한다. 이번 교육은 중소기업이 독자적으로 잠재 고객을 발굴하고 수출 판로를 개척할 수 있는 실무 대응 역량을 강화하기 위해 마련됐다. 주요 내용은 데이터 기반 마케팅과 글로벌 B2B 플랫폼 입점 및 활용방안이라는 두 가지 핵심 세션으로 구성, 실무적인 해결책을 제시한다. 첫 번째 세션에서는 Google Ads와 GA4(구글 애널리틱스)를 활용한 B2B 퍼포먼스 광고 전략을 다룬다. 두 번째 세션은 글로벌 디지털 B2B 무역 플랫폼 ‘트롤리고(TrollyGo)’의 활용방안 소개를 통해 실제 운영사례와 상품 홍보 기법 등 실무 중심의 현장 인사이트를 공유할 계획이다. 교육 참여를 희망하는 중소기업 임직원은 3월25일 오후 1시까지 온라인 신청(https://tinyurl.com/gw260325)을 통해 선착순으로 접수할 수 있다. 자세한 사항은 강원수출지원센터(033-260-1675)를 통해 안내받을 수 있다.",https://www.kwnews.co.kr/page/view/2026022316274442449?page=1,https://www.kwnews.co.kr/2026/02/23/2026022316275820447_l.png
2026-02-23,강원일보,gangwon,강원특별자치도 ‘2025년 강원 온라인 마케터 양성사업’ 성료,,"강원특별자치도는 도내 소상공인의 디지털 경쟁력 강화와 온라인 마케팅 전문인력 양성을 위해 추진한 ‘2025년 강원 온라인 마케터 양성사업’을 성공적으로 마무리했다.
지난해 9기와 10기에 걸쳐 진행된 이번 ...","강원특별자치도는 도내 소상공인의 디지털 경쟁력 강화와 온라인 마케팅 전문인력 양성을 위해 추진한 ‘2025년 강원 온라인 마케터 양성사업’을 성공적으로 마무리했다. 지난해 9기와 10기에 걸쳐 진행된 이번 사업은 총 75명의 마케터와 66개 소상공인 업체를 매칭해 총 3,547건의 마케팅 활동을 펼쳤다. 단순 교육에 그치지 않고 스마트스토어 운영, SNS 홍보 콘텐츠 제작, 검색 광고 등 실질적인 매출로 이어지는 맞춤형 전략을 수행해 큰 호응을 얻었다. 이번 사업의 가장 큰 성과는 소상공인의 매출 성장이다. 강릉의 ‘삶은감자’는 마케터 지원을 통해 매출성장률 1,095.4%를 달성했으며, 원주의 ‘단디잇’과 춘천의 ‘시크릿스퀘어’ 등 소상공인 22개사가 온라인 시장에서 신규 매출을 창출했다. 강원자치도는 이번 사업을 통해 양양, 영월, 인제 등 소멸위기지역 12개사 소상공인을 지원, 도 대표 마케팅 프로그램으로서의 입지를 다졌다. 특히 10기 활동 중에는 가뭄 피해로 어려움을 겪던 강릉 지역 소상공인을 위해 추가 연장활동을 운영하는 등 지역 위기 극복에도 힘을 보탰다. 마케터들의 취·창업 성과도 눈에 띈다. 2025년 평균 취·창업률은 27.7%로 전년(21.8%) 대비 5.9% 상승했다. 취·창업자 61.9%가 마케팅 및 콘텐츠 관련 분야로 진출했으며, 9기 마케터 중에는 본인이 매칭됐던 소상공인 업체에 직접 채용되는 등의 우수사례로 이어졌다.",https://www.kwnews.co.kr/page/view/2026022213295391125?page=1,https://www.kwnews.co.kr/2026/02/22/2026022213325899482_l.jpg
2026-02-23,강원일보,gangwon,"[2025년 건설업 실적신고]건설경기 침체 여파, 강원 종합건설 기성실적 전년보다 감소","기성실적 전년보다 10,68% 감소한 3조6,181억원 영세업체는 물론 상위권 대형업체 실적 크게 줄어","강원지역 종합건설사들의 기성실적이 전년보다 4,000억원 넘게 감소했다. 건설경기 침체 여파로 영세업체는 물론 상위권 대형업체들의 기성실적도 크게 줄어든 것으로 나타났다.
대한건설협회 강원특별자치도회...","강원지역 종합건설사들의 기성실적이 전년보다 4,000억원 넘게 감소했다. 건설경기 침체 여파로 영세업체는 물론 상위권 대형업체들의 기성실적도 크게 줄어든 것으로 나타났다. 대한건설협회 강원특별자치도회가 지난 20일 발표한 ‘2025년 건설공사 실적신고 결과’에 따르면 지난해 실적신고에 참여한 938개 종합건설사의 총 기성실적은 3조6,181억원으로 전년(4조509억원) 대비 10.68% 감소했다. 계약총액은 1년 전(3조2,226억원)보다 16.72% 증가한 3조7,614억원이었다. 업체별 기성액은 원주 요진건설산업㈜이 2,396억원을 기록하며 지난해에 이어 도내 1위를 차지했다. 종합건설업계는 기성액 감소에 대해 건설경기 한파로 상위권 대형업체들의 실적마저 줄었기 때문으로 분석했다. 기성실적 1위를 차지한 원주의 요진건설산업㈜은 기성액이 1년 새 540억원 줄었다. 2위 홍천 ㈜대명건설(2,376억원)과 3위 고성 현대아산㈜의 기성액(1,479억원)은 각각 513억원, 828억원 감소했다. 에스지건설㈜의 경우 기성액(478억원)이 전년(1,118억원)보다 절반 넘게 급감했다. 기성실적 1,000억원 이상 업체도 2024년 4곳에서 지난해 3곳으로 줄었다. 상위권 업체와 영세업체들의 실적 양극화도 여전했다. 도내 30개 업체의 기성액은 38.01%(1조3,753억원)를 차지했다. 반면 기성액이 10억원 이하인 업체는 292개사(30.74%), 무실적도 84개사(8.84%, 미신고 포함)에 달했다. 최상순 대한건설협회 강원특별자치도회장은 “강원지역 중소건설업체의 경우 대기업에 비해 인력과 자금력이 부족해 비교적 어려운 여건에 있다”고 말했다.",https://www.kwnews.co.kr/page/view/2026022214391846959?page=1,https://www.kwnews.co.kr/2026/02/22/2026022215020127054_l.png
2026-02-23,강원일보,gangwon,"[2025년 강원 건설 실적신고]강원 전문건설, 기성실적 소폭 늘었지만 업계 침체 여전","지난해 기성실적 1조9,088억원 전년보다 3.19% 상승 소수업체 실적 의한 것으로 75% 업체 평균 실적보다 미달","강원지역 전문건설 공사실적이 소폭 상승했다. 하지만 타지역 대형하도급공사에 참여한 소수업체의 실적에 의한 것으로 도내 대부분의 전문건설사업자가 평균 기성액에 못 미친 것으로 나타났다.
대한전문건설협...","강원지역 전문건설 공사실적이 소폭 상승했다. 하지만 타지역 대형하도급공사에 참여한 소수업체의 실적에 의한 것으로 도내 대부분의 전문건설사업자가 평균 기성액에 못 미친 것으로 나타났다. 대한전문건설협회 강원특별자치도회가 지난 20일 발표한 ‘2025년 전문공사 실적신고 결과’에 따르면 지난해 실적신고에 참여한 2,855개 회원사의 기성실적은 1조9,088억원으로 집계됐다. 이는 2024년(1조8,497억원)보다 3.19% 늘어난 값이다. 업체당 평균 기성실적은 6억6,800만원으로 1년 전(6억5,300만원)보다 1,500만원 증가했다. 평균 기성액 미달업체는 전체 75%에 달한 것으로 집계됐다. 전문건설업계는 도내 전문건설업이 강원특별자치도 및 산하기관, 군부대 등 공공기관에서 발주하는 원도급공사에 의존도가 높아 기성액 감소로 이어지지는 않았다고 분석했다. 하지만 하도급 공사 비율이 높은 타 지역의 경우 장기적인 경기침체로 인한 민간공사 발주 감소로 인해 전년대비 평균 15.27% 실적이 감소하는 등 국내 전문건설업계의 어려움이 점점 가중되고 있다고 진단했다. 실제로 지난해 공사를 단 한건도 수주하지 못한 도내 무실적 업체는 187개사로 1년새 6.29% 증가했다. 또 2년 전인 2023년(155개)보다는 20.65% 증가했다. 지역 영세업체들의 운영난이 심화된 것이다. 도내 전문건설업 무실적 업체수는 2020년(101개) 100개를 넘어선 이후 6년째 증가세가 이어지고 있다. 오성진 대한전문건설협회 강원특별자치도회장은 “지역 건설업계는 수주 감소와 원가 상승이라는 이중고 속에 놓여있다. 전문공사 보호구간 확대, 하도급 문제 개선 등이 시급하다”고 말했다.",https://www.kwnews.co.kr/page/view/2026022215260131832?page=1,https://www.kwnews.co.kr/2026/02/22/2026022215301850067_l.png
2026-02-23,강원일보,gangwon,[포토뉴스] 새 학기 준비하러 왔어요,,새 학기를 앞두고 가방 등 신입생들의 입학선물이 인기다. 22일 노스페이스 춘천점에서 자녀와 함께 매장을 찾은 가족들이 가방을 고르고 있다. 임도혁기자,새 학기를 앞두고 가방 등 신입생들의 입학선물이 인기다. 22일 노스페이스 춘천점에서 자녀와 함께 매장을 찾은 가족들이 가방을 고르고 있다. 임도혁기자,https://www.kwnews.co.kr/page/view/2026022215421731003?page=1,https://www.kwnews.co.kr/2026/02/22/2026022215415659653_l.jpg
2026-02-23,강원일보,gangwon,"[2025년 강원 건설 실적신고]기계설비·가스공사업, 전기공사업 실적 소폭 상승","기계설비· 가스공사업 등록업체 392개사 기성실적 3,746억원 도내 전기공사업체 1,144개사의 실적금액은 1조여원 기록 위기 극복 위한 일감 확보 노력으로 각각 4.04%, 4.5% 상승",지난해 강원지역 기계설비 및 가스공사업과 전기공사업 기성실적이 소폭 상승한 것으로 나타났다. 건설경기 침체가 심화되고 있는 분위기 속에서도 업체들이 위기극복을 위한 일감 확보에 힘을 쏟은 결과로 풀...,"지난해 강원지역 기계설비 및 가스공사업과 전기공사업 기성실적이 소폭 상승한 것으로 나타났다. 건설경기 침체가 심화되고 있는 분위기 속에서도 업체들이 위기극복을 위한 일감 확보에 힘을 쏟은 결과로 풀이된다. 대한기계설비건설협회 강원특별자치도회가 지난 20일 발표한 ‘2025년 기계설비·가스공사업 실적 현황’에 따르면 도내 기계설비· 가스공사업 등록업체 392개사의 총 기성실적은 3,746억3,100만원으로 집계됐다. 2024년(3,600억6,300만원)보다 4.04% 늘어났다. 같은 날 한국전기공사협회 강원특별자치도회가 발표한 ‘2025년 전기공사 실적신고 결과’를 보면 도내 소재 전기공사업체 1,144개사의 실적금액은 2024년도 대비 약 4.5% 증가한 1조여원을 기록했다. 기계설비 및 가스공사업과 전기공사업계는 최근 몇년간 자금 유동성 악화로 인한 투자위축을 비롯해 민간 건설공사 수요 감소, 원자재 가격 인상 등으로 건설수주 감소와 대내외적인 악재로 경기 침체가 장기화되고 있는 상황이다. 하지만 지속경영 가능한 경영구조 개선 등을 통해 강원지역 업체들이 노력한 결과가 전반적인 실적 향상으로 이어졌다는 평가다.",https://www.kwnews.co.kr/page/view/2026022215464741843?page=1,https://www.kwnews.co.kr/2026/02/22/2026022215493090200_l.png
2026-02-23,강원일보,gangwon,소비자 물가 상승률 1년새 2배 가까이 증가… 고용률 2분기 연속 감소,강원지방데이터지청 ‘2025년 4분기 및 연간 강원지역 경제동향’,"지난해 4분기 강원지역 소비자물가가 전년대비 2% 넘게 올랐다. 상승폭은 1년 새 2배 가까이 커진 것으로 나타났다.
강원지방데이터지청은 지난 20일 ‘2025년 4분기 및 연간 강원지역 경제동향’에 따르면 지난해...","지난해 4분기 강원지역 소비자물가가 전년대비 2% 넘게 올랐다. 상승폭은 1년 새 2배 가까이 커진 것으로 나타났다. 강원지방데이터지청은 지난 20일 ‘2025년 4분기 및 연간 강원지역 경제동향’에 따르면 지난해 4분기 도내 소비자물가지수는 2024년 동분기(1.5%)보다 2.5% 상승했다. 의약품, 전기·수도·가스 등은 하락했지만 가공식품, 석유류 등의 물가가 뛰면서 전반적인 오름세를 견인했다. 체감물가를 나타내는 생활물가지수는 1년 전보다 2.8% 증가했다. 같은 기간 고용률은 2분기 연속으로 떨어지는 등 지역 고용한파가 이어졌다. 지난해 4분기 도내 고용률은 64.3%로 2분기 66.7%에서 3분기 66.5%로 떨어진 데 이어 하락세를 이어갔다. 실업자 수는 2만7,000명으로 전년보다 0.2% 증가한 것으로 나타났다. 연령대별로 청년층(2,000명) 실업자가 가장 많이 늘었으며, 장년층도 300명가량 증가했다. 전체 취업자 수는 85만2,600명으로 1년 전보다 1만1,500명 늘었다. 농업,임업 및 어업 취업자는 큰 폭으로 늘었지만 건설업 취업자는 1년 새 1만여명 감소한 것으로 나타났다.",https://www.kwnews.co.kr/page/view/2026022216294150958?page=1,https://www.kwnews.co.kr/2026/02/22/2026022216311771382_l.png
